,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,Train,0.9508670568466187,0.940677966101695,0.9624277456647399,0.9393063583815029,0.9514285714285715
1,Test,0.46751412749290466,0.4677871148459384,0.4717514124293785,0.4632768361581921,0.469760900140647
