,Year,Shadow model trained on year 3 RMSE,Target model trained on year 0 RMSE
0,Year_0,0.37075757053655994,0.2592391688698786
1,Year_1,0.284905212621439,0.3457143864852492
2,Year_2,0.21241987341287255,0.25855515011121133
3,Year_3,0.240556215477437,0.23614749544650462
