,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.6187658309936523,0.7076271186440678,0.5162287480680062,0.7425373134328358,0.5969615728328865
1,model,test,0.5133556127548218,0.6100278551532033,0.33081570996978854,0.7388059701492538,0.42899118511263473
2,model,train,0.563758373260498,0.5687693898655636,0.8422664624808576,0.22634508348794063,0.6790123456790124
3,model,test,0.5924713611602783,0.5743183817062445,0.9790104947526237,0.12792792792792793,0.7239467849223946
