,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,Train,0.9190751314163208,0.9251968503937008,0.9631147540983607,0.8137254901960784,0.9437751004016064
1,Test,0.6214689016342163,0.7113970588235294,0.7771084337349398,0.2523809523809524,0.7428023032629559
