,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.9969419240951538,0.9957537154989384,0.9957537154989384,0.9891891891891892,0.997872340425532
1,model,test,0.8253968358039856,0.8269230769230769,0.8269230769230769,0.5,0.88659793814433
