,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,Train,0.9523121118545532,0.9475465313028765,0.99644128113879,0.7615384615384615,0.971379011274935
1,Test,0.75,0.8114104595879557,0.8982456140350877,0.13768115942028986,0.8526228143213987
