,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,Train,0.9667630195617676,0.9736379613356766,0.9857651245551602,0.8846153846153846,0.9796640141467727
1,Test,0.7358757257461548,0.8103727714748784,0.8771929824561403,0.15217391304347827,0.8424599831508003
