,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.9984685778617859,0.9978494623655914,0.9978494623655914,0.9947089947089947,0.9989235737351991
1,model,test,0.7142857313156128,0.9696969696969697,0.9696969696969697,0.9285714285714286,0.7804878048780488
