,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.6032735705375671,0.5916030534351145,0.5916030534351145,0.49047619047619045,0.6462821403752607
1,model,test,0.6524486541748047,0.6467391304347826,0.6467391304347826,0.5737704918032787,0.6839080459770114
