,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,Train,0.9364162087440491,0.9174107142857143,0.9832535885167464,0.864963503649635,0.9491916859122401
1,Test,0.5875706076622009,0.6264150943396226,0.7793427230046949,0.2978723404255319,0.694560669456067
