,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.9423659443855286,0.9564621462549383,0.9564621462549383,0.8886138613861386,0.959983815496662
1,model,test,0.645309567451477,0.7427837858865635,0.7427837858865635,0.3180693069306931,0.7580292985033149
