,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,Train,0.9075144529342651,0.9,0.9774590163934426,0.7401960784313726,0.93713163064833
1,Test,0.6384180784225464,0.7153024911032029,0.8072289156626506,0.23809523809523808,0.7584905660377358
