,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.9924585223197937,0.9916666666666667,0.9916666666666667,0.978494623655914,0.9947753396029257
1,model,test,0.7547169923782349,0.8285714285714286,0.8285714285714286,0.6470588235294118,0.8169014084507044
