,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.9776536226272583,0.9806201550387597,0.9806201550387597,0.9509803921568627,0.9844357976653696
1,model,test,0.8072625994682312,0.8945147679324894,0.8945147679324894,0.7549019607843137,0.8600405679513184
